,names,prices
0,Clavier USB Macro K747474 Français Arabe,"8,900 DT"
1,Clavier USB Enter Pinnacle Noir,"9,900 DT"
2,Clavier Multimédia Macro K60120,"10,900 DT"
3,Clavier USB NovaTech NT-K8173S,"11,500 DT"
4,Clavier USB Flexible,"12,100 DT"
5,Clavier USB MultiMedia Nova NT-K8113M,"13,500 DT"
6,Clavier pour pc portable Acer D720,"15,000 DT"
7,Repose poignet White Shark pour Clavier KP-1899,"16,500 DT"
8,Ensemble Clavier et Souris USB JEDEL G10 Noir,"16,900 DT"
9,Clavier Gaming AZERTY JEDEL K500,"18,500 DT"
10,Clavier Filaire USB Omega,"20,500 DT"
11,Clavier Gaming Xtrike Me KB-280 RGB Noir,"20,900 DT"
12,Clavier USB Promate EasyKey-4,"23,000 DT"
13,Clavier Filaire USB Advance Starter,"24,500 DT"
14,Clavier USB Logitech K120 Azerty,"25,000 DT"
15,Touche Clavier Gaming Mécanique REDRAGON SCARAB A130 RGB Noir,"29,000 DT"
16,Ensemble Jedel GK130 CLAVIER + SOURIS USB RGB,"29,900 DT"
17,Clavier Sans fil Meetion WK841 Bilingue,"29,900 DT"
18,Ensemble Clavier + Souris JEDEL WS630 Sans Fil Noir,"29,900 DT"
19,Repose poignée LogiLink ID0044 Noir,"32,000 DT"
20,Clavier Gaming Meetion K9320 Étanche RGB,"36,000 DT"
21,Clavier Dell KB216 Noir,"41,900 DT"
22,Mini Clavier Bluetooth avec Touchpad 7 Couleurs Rétroéclairé Noir,"45,000 DT"
23,Clavier Gaming USG CRUSADER RGB,"45,000 DT"
24,Clavier Sans fil ADVANCE,"45,000 DT"
25,Clavier Gaming Rétroéclairé Spirit of Gamer Pro-K5,"48,000 DT"
26,Clavier Semi-Mécanique AZERTY Gaming Redragon Centaur K506-1,"49,000 DT"
27,Clavier Gaming Mécanique Xtrike Me GK-915 RGB Blue Switch,"55,000 DT"
28,Clavier Gamer MSI Vigor GK20 RGB,"64,000 DT"
29,Clavier Gaming Rétroéclairé Spirit of Gamer ELITE K10,"65,000 DT"
